0.76111,0.75238,0.48677,0.30582,0.4172,0.41032,0.40185,0.39127,0.39101,0.39048,0.39021,0.38995,0.38995,0.38995,0.38995,0.38995,0.38995,0.38995,0.38995,0.38995
0.75476,0.75,0.51323,0.34021,0.45212,0.44021,0.42169,0.41349,0.4127,0.4127,0.41296,0.41296,0.4127,0.41296,0.4127,0.4127,0.41296,0.41296,0.41296,0.41243
0.74974,0.73995,0.44762,0.29233,0.40979,0.40159,0.39497,0.38466,0.38413,0.38519,0.38519,0.38492,0.38492,0.38466,0.38439,0.38413,0.38386,0.38413,0.38413,0.3836
0.74894,0.72196,0.44259,0.29947,0.41508,0.4119,0.40132,0.39074,0.38915,0.38836,0.38836,0.3881,0.3881,0.3881,0.38783,0.38783,0.38783,0.38783,0.38783,0.38783
0.73413,0.70979,0.43757,0.28228,0.40026,0.39577,0.38492,0.37434,0.37434,0.37434,0.37407,0.37407,0.37407,0.37381,0.37354,0.37381,0.37381,0.37354,0.37381,0.37407
0.73042,0.70079,0.4336,0.29497,0.40159,0.39577,0.38704,0.37963,0.37831,0.37831,0.37778,0.37778,0.37857,0.37831,0.37778,0.37778,0.37725,0.37698,0.37698,0.37698
0.72857,0.70238,0.41746,0.29339,0.39497,0.3918,0.37937,0.37354,0.37513,0.37513,0.3746,0.37513,0.37407,0.37381,0.37407,0.3746,0.3746,0.37407,0.37407,0.37434
0.72328,0.69074,0.41376,0.29894,0.4,0.39735,0.3881,0.37937,0.37751,0.37725,0.37725,0.37725,0.37751,0.37751,0.37751,0.37778,0.37778,0.37778,0.37751,0.37751
0.72646,0.69418,0.41323,0.3,0.39127,0.39286,0.38889,0.37593,0.37725,0.37646,0.37646,0.37619,0.37593,0.37593,0.37619,0.37672,0.37698,0.37725,0.37725,0.37698
0.72222,0.6873,0.40847,0.30476,0.39603,0.39233,0.3828,0.37328,0.37222,0.37249,0.37249,0.37249,0.37249,0.37249,0.37275,0.37275,0.37275,0.37275,0.37302,0.37275
0.72407,0.67831,0.4082,0.30794,0.39392,0.38492,0.3791,0.37116,0.37302,0.37302,0.37249,0.37302,0.37302,0.37302,0.37302,0.37302,0.37381,0.37328,0.37302,0.37328
0.72619,0.68571,0.40132,0.31296,0.39312,0.38677,0.38228,0.37566,0.37407,0.37487,0.3746,0.3746,0.3746,0.3746,0.37434,0.37407,0.37407,0.37407,0.37434,0.37434
0.71455,0.68069,0.39577,0.31323,0.39127,0.38386,0.38016,0.37249,0.37222,0.37222,0.37222,0.37196,0.37196,0.37222,0.37249,0.37249,0.37275,0.37196,0.37222,0.37328
0.71799,0.67354,0.4,0.3164,0.39312,0.38439,0.37884,0.37434,0.37037,0.37037,0.36958,0.36984,0.36931,0.36958,0.36984,0.36984,0.37011,0.37037,0.37011,0.37011
0.71481,0.67593,0.39841,0.31561,0.3881,0.38333,0.37672,0.37011,0.37011,0.37011,0.36984,0.36958,0.36984,0.37037,0.36958,0.36958,0.37011,0.37011,0.37011,0.36984
